Soil Depth,PH,Salnity,OC,N,P,K,Crop,Rainfall,Humidity,Min_Temp,Max_temp,Wind_Speed,Season,Yield
Low,8,0.32,0.28,206.98,22.38,501.18,Jowar,589,78.4,20.4,37.1,21.2,Kharif,13
Low,7.7,0.62,0.59,181.89,24.37,419.33,Jowar,589,78.4,20.4,37.1,21.2,Kharif,38
Low,7.5,0.44,0.51,144.26,16.91,393.52,Jowar,589,78.4,20.4,37.1,21.2,Kharif,34
Low,7.4,0.53,0.46,52.68,20.89,459.65,Jowar,589,78.4,20.4,37.1,21.2,Kharif,26
Low,7.6,0.8,0.25,119.17,15.91,540.29,Jowar,589,78.4,20.4,37.1,21.2,Kharif,10
Low,7.6,0.38,0.35,219.52,14.42,420.54,Jowar,589,78.4,20.4,37.1,21.2,Kharif,14
Low,7.5,0.54,0.56,194.43,22.87,565.82,Jowar,589,78.4,20.4,37.1,21.2,Kharif,37
Low,7.8,0.47,0.56,106.62,20.39,337.34,Jowar,589,78.4,20.4,37.1,21.2,Kharif,36
Low,7.5,0.36,0.38,106.62,23.37,391.1,Jowar,589,78.4,20.4,37.1,21.2,Kharif,17
Low,7.6,0.22,0.35,176.87,12.43,340.44,Jowar,520,66.3,10.1,34.2,14,Rabbi,14
Low,7.6,0.37,0.5,214.5,14.42,409.25,Jowar,520,66.3,10.1,34.2,14,Rabbi,34
Low,7.9,0.6,0.39,164.33,17.9,463.01,Jowar,520,66.3,10.1,34.2,14,Rabbi,20
Low,7.5,0.12,0.48,214.5,20.39,354.14,Jowar,520,66.3,10.1,34.2,14,Rabbi,22
Low,8,0.42,0.43,189.41,12.93,314.36,Jowar,520,66.3,10.1,34.2,14,Rabbi,23
Low,7.7,0.52,0.35,151.78,14.92,301.73,Jowar,520,66.3,10.1,34.2,14,Rabbi,13
Low,7.9,0.38,0.44,176.87,19.89,345.81,Jowar,520,66.3,10.1,34.2,14,Rabbi,24
Low,7.6,0.55,0.5,214.5,17.4,325.52,Jowar,520,66.3,10.1,34.2,14,Rabbi,30
Low,8,0.55,0.39,139.24,12.93,450.64,Jowar,520,66.3,10.1,34.2,14,Rabbi,20
Low,7.8,0.28,0.43,189.41,15.42,399.84,Jowar,520,66.3,10.1,34.2,14,Rabbi,24
Low,7.5,0.44,0.36,176.87,17.9,332.64,Jowar,520,66.3,10.1,34.2,14,Rabbi,13
Low,7.9,0.63,0.48,214.5,13.43,343.66,Jowar,520,66.3,10.1,34.2,14,Rabbi,26
Low,7.7,0.53,0.5,227.05,15.91,437.61,Jowar,520,66.3,10.1,34.2,14,Rabbi,32
Low,7.9,0.44,0.38,151.78,19.89,313.96,Jowar,520,66.3,10.1,34.2,14,Rabbi,16
Low,7.9,0.23,0.43,176.87,18.4,355.08,Jowar,520,66.3,10.1,34.2,14,Rabbi,26
Low,7.5,0.38,0.38,139.24,13.92,317.05,Jowar,520,66.3,10.1,34.2,14,Rabbi,16
Low,8,0.7,0.4,164.33,16.41,425.11,Jowar,520,66.3,10.1,34.2,14,Rabbi,21
Low,7.7,0.2,0.48,214.5,18.9,305.36,Jowar,520,66.3,10.1,34.2,14,Rabbi,27
Low,8,0.36,0.35,176.87,19.39,373.09,Jowar,520,66.3,10.1,34.2,14,Rabbi,16
Low,7.5,0.63,0.44,189.41,14.42,333.04,Jowar,520,66.3,10.1,34.2,14,Rabbi,18
Low,7.9,0.17,0.5,227.05,16.91,407.64,Jowar,520,66.3,10.1,34.2,14,Rabbi,31
Low,7.7,0.47,0.36,176.87,19.39,287.88,Jowar,520,66.3,10.1,34.2,14,Rabbi,25
Low,7.6,0.13,0.43,189.41,17.4,382.91,Jowar,520,66.3,10.1,34.2,14,Rabbi,37
Low,8,0.53,0.4,176.87,12.93,397.15,Jowar,520,66.3,10.1,34.2,14,Rabbi,23
Low,7.5,0.47,0.3,139.24,13.43,331.3,Jowar,520,66.3,10.1,34.2,14,Rabbi,12
Low,7.7,0.21,0.44,176.87,15.42,305.49,Jowar,724.9,78,10.41,32.4,18,Rabbi,29
Low,7.7,0.19,0.39,151.78,14.42,312.48,Jowar,724.9,78,10.41,32.4,18,Rabbi,21
Low,7.5,0.3,0.43,189.41,14.92,336.67,Jowar,724.9,78,10.41,32.4,18,Rabbi,38
Low,7.7,0.57,0.38,164.33,13.43,358.58,Jowar,724.9,78,10.41,32.4,18,Rabbi,26
Low,7.6,0.85,0.42,176.87,14.42,325.92,Jowar,724.9,78,10.41,32.4,18,Rabbi,32
Low,7.9,0.23,0.31,139.24,14.92,381.02,Jowar,724.9,78,10.41,32.4,18,Rabbi,24
Low,7.5,0.75,0.59,201.96,13.92,354.68,Jowar,724.9,78,10.41,32.4,18,Rabbi,40
Low,7.8,0.33,0.42,189.41,12.93,318.53,Jowar,724.9,78,10.41,32.4,18,Rabbi,33
Low,7.6,0.24,0.4,176.87,17.4,369.33,Jowar,724.9,78,10.41,32.4,18,Rabbi,37
Low,8,0.64,0.46,201.96,13.92,421.88,Jowar,724.9,78,10.41,32.4,18,Rabbi,36
Low,7.5,0.45,0.32,139.24,15.42,342.05,Jowar,724.9,78,10.41,32.4,18,Rabbi,15
Low,7.9,0.44,0.43,201.96,12.93,368.12,Jowar,724.9,78,10.41,32.4,18,Rabbi,24
Low,7.7,0.6,0.4,176.87,17.9,393.12,Jowar,724.9,78,10.41,32.4,18,Rabbi,23
Low,8,0.38,0.44,201.96,16.91,326.59,Jowar,724.9,78,10.41,32.4,18,Rabbi,25
Low,7.5,0.37,0.47,214.5,14.92,438.82,Jowar,724.9,78,10.41,32.4,18,Rabbi,31
Low,7.8,0.26,0.34,151.78,17.4,386.8,Jowar,724.9,78,10.41,32.4,18,Rabbi,20
Low,7.6,0.43,0.58,264.68,12.93,358.98,Jowar,724.9,78,10.41,32.4,18,Rabbi,37
Low,7.9,0.54,0.46,214.5,15.42,398.63,Jowar,724.9,78,10.41,32.4,18,Rabbi,31
Low,7.5,0.45,0.5,239.59,13.43,345,Jowar,724.9,78,10.41,32.4,18,Rabbi,34
Low,7.8,0.45,0.35,139.24,16.41,404.41,Jowar,724.9,78,10.41,32.4,18,Rabbi,23
Low,7.6,0.37,0.48,214.5,14.92,339.9,Jowar,724.9,78,10.41,32.4,18,Rabbi,29
Low,7.7,0.27,0.56,239.59,16.91,406.96,Jowar,724.9,78,10.41,32.4,18,Rabbi,36
Low,7.5,0.24,0.47,214.5,12.93,367.32,Jowar,724.9,78,10.41,32.4,18,Rabbi,30
Low,7.6,0.54,0.36,151.78,15.42,421.21,Jowar,724.9,78,10.41,32.4,18,Rabbi,24
Low,8,0.23,0.5,214.5,14.42,359.12,Jowar,724.9,78,10.41,32.4,18,Rabbi,33
Medium,7.8,0.55,0.48,225.79,15.91,327.26,Jowar,560.7,58,11.8,33.3,18,Rabbi,29
Medium,7.5,0.67,0.51,238.34,13.43,420,Jowar,560.7,58,11.8,33.3,18,Rabbi,34
Medium,7.6,0.21,0.55,250.88,16.41,447.28,Jowar,560.7,58,11.8,33.3,18,Rabbi,26
Medium,7.8,0.63,0.38,137.98,14.92,435.32,Jowar,560.7,58,11.8,33.3,18,Rabbi,21
Medium,7.7,0.23,0.51,225.79,15.91,368.26,Jowar,560.7,58,11.8,33.3,18,Rabbi,31
Medium,7.5,0.15,0.52,213.25,13.92,449.57,Jowar,560.7,58,11.8,33.3,18,Rabbi,35
Medium,8,0.76,0.39,175.62,15.91,433.57,Jowar,560.7,58,11.8,33.3,18,Rabbi,27
Medium,7.6,0.48,0.54,238.34,14.92,448.63,Jowar,560.7,58,11.8,33.3,18,Rabbi,42
Medium,7.7,0.27,0.36,163.07,16.91,454,Jowar,560.7,58,11.8,33.3,18,Rabbi,15
Medium,8,0.36,0.39,150.53,15.91,286.14,Jowar,560.7,58,11.8,33.3,18,Rabbi,27
Medium,7.9,0.3,0.35,150.53,17.9,379.01,Jowar,560.7,58,11.8,33.3,18,Rabbi,25
Medium,7.5,0.43,0.44,188.16,16.41,272.83,Jowar,560.7,58,11.8,33.3,18,Rabbi,38
